cpu,freq,fan,load,temp
32.7,3.13,4024,269,71.0
35.3,2.53,4024,269,72.0
38.0,2.57,4024,269,72.0
32.8,3.08,4024,269,72.0
35.6,3.05,4024,269,72.0
33.7,3.16,4027,269,72.0
36.6,3.04,4027,269,71.0
60.1,3.13,4027,269,72.0
32.3,1.94,4024,269,72.0
32.0,3.13,4024,268,72.0
24.5,2.77,4027,269,67.0
31.6,2.83,4027,269,69.0
33.4,3.08,4027,269,68.0
24.9,2.83,4027,269,68.0
30.6,2.77,4031,269,67.0
31.1,2.91,4031,270,70.0
50.4,3.02,4027,271,70.0
35.4,2.85,4031,271,68.0
36.5,2.88,4031,271,69.0
52.5,2.96,4027,271,67.0
33.4,3.03,4031,271,68.0
43.8,3.1,4027,270,67.0
30.4,3.06,4031,270,68.0
21.0,1.87,4031,270,67.0
21.2,1.91,4034,270,67.0
21.8,1.97,4038,270,66.0
30.3,2.62,4038,270,67.0
32.2,1.86,4038,270,65.0
27.4,2.08,4038,270,65.0
28.9,1.69,4038,270,65.0
41.1,2.04,4038,261,66.0
28.5,2.05,4038,261,66.0
25.9,1.77,4038,261,65.0
28.3,1.96,4038,261,65.0
26.8,1.43,4038,261,63.0
23.0,1.25,4038,261,64.0
24.2,1.59,4038,261,63.0
26.8,1.15,4038,261,63.0
36.7,1.6,4038,261,64.0
25.9,1.15,4038,262,63.0
28.6,1.4,4038,262,62.0
28.9,1.33,4038,265,62.0
27.2,1.76,4038,265,62.0
25.5,1.61,4038,265,62.0
27.2,1.54,4038,265,61.0
26.5,1.61,4038,265,61.0
27.0,1.45,4038,265,60.0
27.4,1.66,4038,265,65.0
24.3,2.13,4038,265,61.0
24.5,1.53,4038,265,61.0
26.7,1.64,4038,265,61.0
25.3,1.64,4038,265,61.0
26.3,1.0,4038,265,60.0
28.2,1.39,4038,265,60.0
29.1,1.92,4038,265,59.0
29.8,1.35,4038,265,61.0
27.7,1.57,3984,265,61.0
27.5,1.87,3893,265,59.0
25.3,1.75,3700,265,60.0
45.7,2.71,3578,263,62.0
20.2,1.87,3547,263,60.0
24.0,1.44,3536,263,60.0
27.5,1.73,3536,263,59.0
60.1,3.11,3536,263,61.0
44.0,2.92,3536,263,63.0
43.1,2.8,3515,263,63.0
38.6,3.02,3533,264,63.0
57.8,3.14,3530,264,64.0
30.9,2.94,3527,264,65.0
30.7,2.38,3525,264,64.0
29.0,2.94,3525,264,64.0
29.8,2.56,3525,264,63.0
30.4,2.33,3527,264,61.0
31.6,2.31,3530,264,62.0
30.5,2.0,3533,264,62.0
28.6,2.11,3536,263,62.0
53.6,2.98,3536,263,67.0
41.9,2.51,3536,263,62.0
27.5,2.09,3533,263,62.0
28.3,2.3,3533,263,63.0
30.5,2.2,3533,263,63.0
29.1,2.41,3533,263,63.0
30.1,2.07,3536,263,62.0
29.8,2.26,3533,263,63.0
25.3,1.75,3533,263,61.0
31.2,2.41,3530,263,63.0
25.2,1.95,3530,263,62.0
30.7,2.15,3530,263,62.0
26.8,1.94,3530,263,61.0
31.4,2.74,3533,263,63.0
29.0,2.3,3533,263,63.0
27.5,1.7,3536,262,61.0
48.6,2.87,3533,267,66.0
80.0,2.95,3530,267,67.0
68.5,3.07,3527,267,68.0
66.5,2.99,3525,267,68.0
69.3,2.89,3525,267,69.0
69.2,2.94,3525,267,69.0
70.4,2.98,3525,267,69.0
71.7,2.99,3525,267,69.0
69.0,2.96,3525,267,69.0
69.5,3.04,3525,267,69.0
67.8,2.96,3525,267,71.0
70.8,2.88,3525,267,71.0
69.3,2.93,3525,267,70.0
69.9,2.91,3525,267,71.0
66.3,3.05,3525,264,70.0
75.9,2.85,3525,267,72.0
95.2,2.86,3536,267,73.0
97.7,3.0,3611,267,72.0
73.1,3.1,3747,267,72.0
70.0,2.86,3918,267,72.0
62.4,2.86,3997,264,73.0
59.2,2.87,4051,266,73.0
64.1,3.02,4038,263,74.0
82.2,2.86,4038,262,73.0
76.7,2.86,4038,262,73.0
39.0,2.49,4051,262,72.0
35.1,2.93,4024,262,71.0
36.1,2.65,4011,262,71.0
32.7,2.49,4024,262,72.0
32.4,2.52,4024,262,72.0
36.5,3.12,4010,262,71.0
32.5,2.54,4020,262,71.0
33.0,2.51,4020,262,71.0
33.1,1.93,4024,262,71.0
32.2,2.53,4024,262,71.0
34.3,2.52,4020,262,71.0
34.1,2.87,4024,262,71.0
33.1,2.52,4024,262,71.0
32.3,1.93,4024,262,71.0
33.2,2.58,4024,262,71.0
32.8,2.52,4024,262,70.0
